id,gid,vendor,type,variants
7968726057075,gid://shopify/Product/7968726057075,Ping,Driver,"[{'id': 43014526533747, 'price': 15599, 'name': 'Ping G Series Driver / 10.5 Degree / Senior Flex Ping Alta 55 Shaft', 'public_title': None, 'sku': '902-E0B71G76254F383D87HD'}]"
7968698335347,gid://shopify/Product/7968698335347,Callaway,Driver,"[{'id': 43014422528115, 'price': 9899, 'name': 'Left Hand Callaway XR16 Driver / 10.5 Degree / Regular Flex Fujikura Speeder565', 'public_title': None, 'sku': '545-15FE87FHAG7EF383D6D0'}]"
7968628015219,gid://shopify/Product/7968628015219,Cobra,Driver,"[{'id': 43014311444595, 'price': 27499, 'name': 'Cobra Darkspeed Max Driver / 12 Degree / Senior Flex UST LINQ M40X Red 5', 'public_title': None, 'sku': '24471-HGFI676FDI04C383D3D8'}]"
7968627982451,gid://shopify/Product/7968627982451,Ping,Driver,"[{'id': 43014311411827, 'price': 32999, 'name': 'Ping G430 LST Driver / 10.5 Degree / Stiff Flex Ping Alta CB Black 55', 'public_title': None, 'sku': '21951-24J14IC736CJB383D3D8'}]"
7968627949683,gid://shopify/Product/7968627949683,Ping,Driver,"[{'id': 43014311379059, 'price': 41799, 'name': 'Ping G430 Max 10K Driver / 9 Degree / Regular Flex Ping Alta CB Black 55', 'public_title': None, 'sku': '24683-GB02G5J938686383D3D8'}]"
7968625950835,gid://shopify/Product/7968625950835,Taylormade,Driver,"[{'id': 43014308790387, 'price': 9299, 'name': 'Taylormade SLDR 460 Driver / 9.5 Degree / Stiff Flex Fujikura Speeder 57 Shaft', 'public_title': None, 'sku': '1190-8B1JA9D9DD976383D39G'}]"
7968612483187,gid://shopify/Product/7968612483187,Callaway,Driver,"[{'id': 43014278250611, 'price': 13199, 'name': 'Ladies Callaway Mavrik Max Driver / 12 Degree  / Ladies Flex UST Helium Black 4', 'public_title': None, 'sku': '488-I9F41IG1CDBD73832CBI'}]"
7968604127347,gid://shopify/Product/7968604127347,Taylormade,Driver,"[{'id': 43014249578611, 'price': 5599, 'name': 'Taylormade Tour Burner 2008 Driver / 10.5 Degree / Regular Flex Burner REAX 60', 'public_title': None, 'sku': '1049-J5JHC872EA12382E8891'}]"
7967179112563,gid://shopify/Product/7967179112563,Taylormade,Driver,"[{'id': 43012402446451, 'price': 22999, 'name': 'Taylormade SIM2 Max Driver / 10.5 Degree / Stiff Flex Kuro Kage 60 Shaft', 'public_title': None, 'sku': '18235-A7798J00AA8DA382JDH2'}]"
7967074484339,gid://shopify/Product/7967074484339,Taylormade,Driver,"[{'id': 43012117889139, 'price': 22999, 'name': 'Taylormade Stealth Driver / 12 Degree / Regular Flex Fujikura Ventus Red 5', 'public_title': None, 'sku': '20336-0EA148CHF65096382439'}]"
7967072059507,gid://shopify/Product/7967072059507,Ping,Driver,"[{'id': 43012115038323, 'price': 4399, 'name': 'Ping G2 Driver / 10 Degree / Regular Flex Ping TFC 100 D Shaft', 'public_title': None, 'sku': '911-9JF46G99FBD0B383C43I'}]"
7967068749939,gid://shopify/Product/7967068749939,Ping,Driver,"[{'id': 43012110483571, 'price': 9099, 'name': 'Ping G Series LS Tec Driver / 10.5 Degree / Regular Flex Ping Tour 65', 'public_title': None, 'sku': '18194-HDIJ1462906I73832C72'}]"
7967066685555,gid://shopify/Product/7967066685555,Ping,Driver,"[{'id': 43012108419187, 'price': 5099, 'name': 'Ping G10 Driver / 12 Degree / Regular Flex Ping TFC 129 D', 'public_title': None, 'sku': '905-BAHJDD401JI573832C7B'}]"
7967066062963,gid://shopify/Product/7967066062963,Ping,Driver,"[{'id': 43012107599987, 'price': 9199, 'name': 'Ping G20 Driver / 12 Degree / Regular Flex Ping TFC 169', 'public_title': None, 'sku': '914-GC9BC19BE62I3832C90D'}]"
7967065964659,gid://shopify/Product/7967065964659,Ping,Driver,"[{'id': 43012107501683, 'price': 29499, 'name': 'Ping G425 Max Driver / 12 Degree / Regular Flex Ping Alta CB Slate 55', 'public_title': None, 'sku': '18185-I8C581D0H790A3832C96'}]"
7967052365939,gid://shopify/Product/7967052365939,Ping,Driver,"[{'id': 43012090003571, 'price': 11499, 'name': 'Ping G20 Driver / 10.5 Degree / Senior Flex Aldila VX Shaft', 'public_title': None, 'sku': '914-JE8BJ74F8FJ383C3F40H'}]"
7967011799155,gid://shopify/Product/7967011799155,Ping,Driver,"[{'id': 43012028039283, 'price': 46999, 'name': 'Ping G440 LST Driver / 9 Degree / Stiff Flex Ping Tour 2.0 75', 'public_title': None, 'sku': '23136-GII62FJ86EDH83830JE5'}]"
